Country,Year,TouristArrivals,Latitude,Longitude
Singapore,2023,8308230,1.3521,103.8198
Indonesia,2023,3108165,0.7893,113.9213
Thailand,2023,1551282,15.87,100.9925
China,2023,1474114,35.8617,104.1954
Brunei,2023,811833,4.5353,114.7277
India,2023,671846,20.5937,78.9629
South Korea,2023,400853,35.9078,127.7669
Vietnam,2023,344361,14.0583,108.2772
Australia,2023,343438,25.2744,133.7751
Philippines,2023,339282,12.8797,121.774
Singapore,2022,5222991,1.3521,103.8198
Indonesia,2022,1481739,0.7893,113.9213
Thailand,2022,715528,15.87,100.9925
India,2022,324548,20.5937,78.9629
Brunei,2022,301757,4.5353,114.7277
China,2022,212603,35.8617,104.1954
Vietnam,2022,173763,14.0583,108.2772
Philippines,2022,159442,12.8797,121.774
Australia,2022,152265,25.2744,133.7751
South Korea,2022,146348,35.9078,127.7669
Thailand,2021,59607,15.87,100.9925
Singapore,2021,16308,1.3521,103.8198
Indonesia,2021,11025,0.7893,113.9213
China,2021,7701,35.8617,104.1954
India,2021,3916,20.5937,78.9629
Japan,2021,3114,36.2048,138.2529
South Korea,2021,3028,35.9078,127.7669
United Kingdom,2021,2676,55.3781,3.436
Philippines,2021,2317,12.8797,121.774
Pakistan,2021,2043,30.3753,69.3451
Singapore,2020,1545255,1.3521,103.8198
Thailand,2020,394413,15.87,100.9925
Indonesia,2020,711723,0.7893,113.9213
Brunei,2020,136020,4.5353,114.7277
Vietnam,2020,64184,14.0583,108.2772
China,2020,405149,35.8617,104.1954
Japan,2020,74383,36.2048,138.2529
South Korea,2020,119750,35.9078,127.7669
Taiwan,2020,60090,23.6978,120.9605
India,2020,155883,20.5937,78.9629
Singapore,2019,10163882,1.3521,103.8198
Indonesia,2019,3623277,0.7893,113.9213
China,2019,3114257,35.8617,104.1954
Thailand,2019,1884306,15.87,100.9925
Brunei,2019,1216123,4.5353,114.7277
India,2019,735309,20.5937,78.9629
South Korea,2019,673065,35.9078,127.7669
Japan,2019,424694,36.2048,138.2529
Philippines,2019,421908,12.8797,121.774
Australia,2019,368271,25.2744,133.7751
Singapore,2018,10615986,1.3521,103.8198
Indonesia,2018,3277689,0.7893,113.9213
China,2018,2944133,35.8617,104.1954
Thailand,2018,1914692,15.87,100.9925
Brunei,2018,1382031,4.5353,114.7277
South Korea,2018,616783,35.9078,127.7669
India,2018,600311,20.5937,78.9629
Philippines,2018,396062,12.8797,121.774
Japan,2018,394540,36.2048,138.2529
Vietnam,2018,375578,14.0583,108.2772
Singapore,2017,12441713,1.3521,103.8198
Indonesia,2017,2796570,0.7893,113.9213
China,2017,2281666,35.8617,104.1954
Thailand,2017,1836522,15.87,100.9925
Brunei,2017,1660506,4.5353,114.7277
India,2017,552739,20.5937,78.9629
South Korea,2017,484528,35.9078,127.7669
Japan,2017,392777,36.2048,138.2529
Philippines,2017,370559,12.8797,121.774
United Kingdom,2017,358818,55.3781,3.436
Singapore,2016,13272961,1.3521,103.8198
Indonesia,2016,3049964,0.7893,113.9213
China,2016,2124942,35.8617,104.1954
Thailand,2016,1780800,15.87,100.9925
Brunei,2016,1391016,4.5353,114.7277
India,2016,638578,20.5937,78.9629
South Korea,2016,444439,35.9078,127.7669
Philippines,2016,417446,12.8797,121.774
Japan,2016,413768,36.2048,138.2529
United Kingdom,2016,400269,55.3781,3.436
