,2016,2017,2018,2019,2020,2021,2022,2023
Kuala Lumpur,6715078,7264872,8020019,7397154,4514383,2269693,8330471,9712689
Putrajaya,337901,343147,350112,306920,173400,131950,398834,508102
Selangor,2440004,2793468,3631221,3548963,1653005,1672198,5170158,5985054
Pulau Pinang,3467402,3470322,3639990,3541246,2336054,1309198,4327806,4795567
Perak,2325974,2466507,2613616,2623351,1128553,1270301,4387020,4274117
Kedah,2474404,2591488,2661145,2663052,2118912,1545860,3214369,2761947
Perlis,170720,177689,177376,179724,126013,99366,264470,317353
Negeri Sembilan,1902098,1951414,2005116,1928835,980525,638649,1887811,2097075
Melaka,2840620,3086394,3388803,3252526,1262949,906686,3275627,3363245
Johor,4431801,4780989,5002635,5020019,3472179,1943093,5730117,6055964
Pahang,7930172,8416913,8956297,8877064,6784431,1911852,8329953,10222376
Terengganu,1516335,1621301,1712595,1738426,1325099,1222617,2701850,2378908
Kelantan,1139021,1143783,1169007,1050577,556340,473601,1267208,1343953
Sabah,4136390,4192579,4278378,4228391,1311390,1255960,4731974,4489761
Labuan,539660,523031,443745,430038,251661,146331,354819,591083
Sarawak,4069647,4421786,4398256,4306725,2709100,3074724,5676138,5402584
